code,dispensing_patients
C81037,3457
C81038,0
C81039,3004
C81040,0
C81041,4186
C81042,0
C81044,0
C81045,0
C81046,1328
C81047,2619
C81048,0
C81049,0
C81050,0
C81051,0
C81052,0
C81053,0
C81054,0
C81055,0
C81056,0
C81057,0
C81058,0
C81059,0
C81060,0
C81061,326
C81062,0
C81063,0
C81064,0
C81065,0
C81066,0
C81067,0
C81068,0
C81069,0
C81070,0
C81071,0
C81072,0
C81073,0
C81074,0
C81075,5354
C81076,1462
C81077,0
C81080,0
C81081,0
C81082,2979
C81083,0
C81084,0
C81086,3277
C81087,0
C81089,0
C81090,0
C81091,0
C81092,4071
C81094,2320
C81095,0
C81096,0
C81097,0
C81099,0
C81100,0
C81101,0
C81104,1361
C81106,0
C81108,0
C81110,0
C81113,0
C81114,0
C81115,0
C81118,0
C81604,0
C81611,1992
C81615,0
C81616,0
C81629,0
C81634,0
C81638,0
C81640,0
C81642,0
C81647,0
C81648,0
C81649,637
C81652,0
C81653,0
C81654,0
C81655,0
C81658,0
C81660,0
C81661,0
C81662,569
C81667,0
C81672,0
C81673,0
C81674,0
C81678,0
C81679,0
C81680,0
C82001,1285
C82002,903
C82003,0
C82005,0
C82007,0
C82008,0
C82009,4304
C82010,0
C82011,0
C82012,1941
C82013,0
C82014,0
C82015,0
C82016,5269
C82017,6527
C82018,0
C82019,0
C82020,0
C82021,0
C82022,3589
C82023,0
C82024,0
C82025,0
C82026,0
C82027,1076
C82028,0
C82029,0
C82030,0
C82031,0
C82032,0
C82033,0
C82034,0
C82035,0
C82036,2491
C82037,0
C82038,0
C82039,0
C82040,1628
C82041,0
C82042,0
C82043,0
C82044,5081
C82045,0
C82046,0
C82047,0
C82048,0
C82050,0
C82051,4207
C82052,0
C82053,0
C82054,1523
C82055,0
C82056,0
C82059,0
C82060,0
C82061,0
C82062,0
C82063,0
C82064,0
C82066,0
C82067,0
C82068,0
C82070,0
C82071,0
C82072,0
C82073,0
C82075,1579
C82076,2213
C82077,5808
C82078,0
C82079,0
C82080,0
C82082,0
C82084,0
C82086,0
C82088,0
C82091,0
C82092,0
C82093,2576
C82094,0
C82095,0
C82096,0
C82097,0
C82098,0
C82099,0
C82100,0
C82102,3535
